p:(0.29641,0.0589501),h:1,n:56,cr:0.0462861;
p:(0.304187,0.0790358),h:1,n:56,cr:0.0454209;
p:(0.307887,0.118955),h:1,n:56,cr:0.0420908;
p:(0.311489,0.1998),h:1,n:56,cr:0.0392939;
p:(0.331085,0.0200232),h:1,n:56,cr:0.0407476;
p:(0.331654,0.253165),h:1,n:56,cr:0.0389722;
p:(0.342247,0.0517183),h:1,n:56,cr:0.0376267;
p:(0.345383,0.142477),h:1,n:56,cr:0.0594588;
p:(0.346279,0.244751),h:1,n:56,cr:0.0489488;
p:(0.352429,0.184872),h:1,n:56,cr:0.0442238;
p:(0.362224,0.216378),h:1,n:56,cr:0.0612141;
p:(0.366767,0.0885028),h:1,n:56,cr:0.0431129;
p:(0.367233,0.156908),h:1,n:56,cr:0.0461904;
p:(0.371668,0.2665),h:1,n:56,cr:0.0605318;
p:(0.379247,0.01786),h:1,n:56,cr:0.0456666;
p:(0.396526,0.15008),h:1,n:56,cr:0.0629869;
p:(0.403041,0.324342),h:1,n:56,cr:0.0390216;
p:(0.405314,0.242121),h:1,n:56,cr:0.0425863;
p:(0.41361,0.339786),h:1,n:56,cr:0.0512076;
p:(0.425548,0.031405),h:1,n:56,cr:0.0585572;
p:(0.425852,0.209093),h:1,n:56,cr:0.0821537;
p:(0.434311,0.0740929),h:1,n:56,cr:0.0670005;
p:(0.436054,0.0422486),h:1,n:56,cr:0.0687321;
p:(0.438675,0.00428753),h:1,n:56,cr:0.0506627;
p:(0.443645,0.18877),h:1,n:56,cr:0.036346;
p:(0.450907,0.273501),h:1,n:56,cr:0.0506765;
p:(0.452053,0.345338),h:1,n:56,cr:0.0512135;
p:(0.454204,0.134697),h:1,n:56,cr:0.0595045;
p:(0.457499,0.101142),h:1,n:56,cr:0.0590175;
p:(0.458149,0.335914),h:1,n:56,cr:0.0644262;
p:(0.458707,0.129339),h:1,n:56,cr:0.0383583;
p:(0.465606,0.281675),h:1,n:56,cr:0.0425021;
p:(0.483681,0.240992),h:1,n:56,cr:0.0473802;
p:(0.485262,0.424504),h:1,n:56,cr:0.0533297;
p:(0.486469,0.40855),h:1,n:56,cr:0.0657604;
p:(0.489757,0.146347),h:1,n:56,cr:0.0401619;
p:(0.497209,0.310868),h:1,n:56,cr:0.0367215;
p:(0.499432,0.240585),h:1,n:56,cr:0.0555335;
p:(0.500179,0.0792815),h:1,n:56,cr:0.0374905;
p:(0.503712,0.0498239),h:1,n:56,cr:0.0505415;
p:(0.504621,0.202871),h:1,n:56,cr:0.0467284;
p:(0.532672,0.147155),h:1,n:56,cr:0.0465355;
p:(0.533265,0.372055),h:1,n:56,cr:0.0441104;
p:(0.54051,0.349891),h:1,n:56,cr:0.0395136;
p:(0.551729,0.265516),h:1,n:56,cr:0.0661772;
p:(0.251959,0.917481),h:1,n:99,cr:0.0328036;
p:(0.268322,0.874032),h:1,n:99,cr:0.0334361;
p:(0.2706,0.919401),h:1,n:99,cr:0.0546223;
p:(0.277781,0.95263),h:1,n:99,cr:0.0550725;
p:(0.292177,0.88872),h:1,n:99,cr:0.0509442;
p:(0.301161,0.744258),h:1,n:99,cr:0.0447607;
p:(0.308194,0.935255),h:1,n:99,cr:0.0782671;
p:(0.311559,0.971881),h:1,n:99,cr:0.055796;
p:(0.325964,0.777268),h:1,n:99,cr:0.0536414;
p:(0.327396,0.84195),h:1,n:99,cr:0.0448216;
p:(0.335175,0.687628),h:1,n:99,cr:0.0691312;
p:(0.335429,0.78086),h:1,n:99,cr:0.0444872;
p:(0.341904,0.686062),h:1,n:99,cr:0.0663828;
p:(0.352659,0.863984),h:1,n:99,cr:0.0643985;
p:(0.353043,0.83012),h:1,n:99,cr:0.0431211;
p:(0.363744,0.534972),h:1,n:99,cr:0.0517971;
p:(0.370102,0.941003),h:1,n:99,cr:0.0584347;
p:(0.370528,0.649642),h:1,n:99,cr:0.0523671;
p:(0.379815,0.769539),h:1,n:99,cr:0.0411684;
p:(0.38138,0.492717),h:1,n:99,cr:0.0511653;
p:(0.381938,0.609527),h:1,n:99,cr:0.0483499;
p:(0.384345,0.566334),h:1,n:99,cr:0.0515493;
p:(0.389007,0.874034),h:1,n:99,cr:0.0678684;
p:(0.395757,0.706808),h:1,n:99,cr:0.0481705;
p:(0.397358,0.624814),h:1,n:99,cr:0.0517552;
p:(0.410163,0.699689),h:1,n:99,cr:0.0539957;
p:(0.412044,0.672533),h:1,n:99,cr:0.0576867;
p:(0.412822,0.823624),h:1,n:99,cr:0.0423915;
p:(0.422263,0.997507),h:1,n:99,cr:0.0534397;
p:(0.430785,0.962966),h:1,n:99,cr:0.0417591;
p:(0.432104,0.591165),h:1,n:99,cr:0.0514441;
p:(0.434071,0.760713),h:1,n:99,cr:0.0620969;
p:(0.43537,0.869151),h:1,n:99,cr:0.0462388;
p:(0.441196,0.875901),h:1,n:99,cr:0.0635993;
p:(0.445532,0.469591),h:1,n:99,cr:0.0621161;
p:(0.457412,0.830847),h:1,n:99,cr:0.031701;
p:(0.461459,0.646729),h:1,n:99,cr:0.0466704;
p:(0.465051,0.503444),h:1,n:99,cr:0.0436616;
p:(0.465922,0.745836),h:1,n:99,cr:0.0609447;
p:(0.469394,0.679774),h:1,n:99,cr:0.0504765;
p:(0.470381,0.52164),h:1,n:99,cr:0.0452406;
p:(0.471078,0.968088),h:1,n:99,cr:0.0449021;
p:(0.476259,0.568969),h:1,n:99,cr:0.0488535;
p:(0.48095,0.877345),h:1,n:99,cr:0.0714368;
p:(0.482207,0.604782),h:1,n:99,cr:0.0527794;
p:(0.483604,0.854208),h:1,n:99,cr:0.0453263;
p:(0.489223,0.94459),h:1,n:99,cr:0.047988;
p:(0.489497,0.489043),h:1,n:99,cr:0.0660408;
p:(0.492389,0.746004),h:1,n:99,cr:0.0494874;
p:(0.501031,0.504561),h:1,n:99,cr:0.0693244;
p:(0.507622,0.930379),h:1,n:99,cr:0.0481815;
p:(0.50829,0.891862),h:1,n:99,cr:0.0502602;
p:(0.510332,0.682837),h:1,n:99,cr:0.0354934;
p:(0.516849,0.946813),h:1,n:99,cr:0.0451428;
p:(0.517667,0.42352),h:1,n:99,cr:0.0460178;
p:(0.51786,0.901281),h:1,n:99,cr:0.0475984;
p:(0.519844,0.562711),h:1,n:99,cr:0.0492723;
p:(0.522485,0.673454),h:1,n:99,cr:0.0357063;
p:(0.524013,0.514842),h:1,n:99,cr:0.0402522;
p:(0.524979,0.827972),h:1,n:99,cr:0.0610198;
p:(0.531775,0.797876),h:1,n:99,cr:0.069143;
p:(0.532749,0.539238),h:1,n:99,cr:0.0562854;
p:(0.536284,0.955967),h:1,n:99,cr:0.0467539;
p:(0.536525,0.544927),h:1,n:99,cr:0.0504107;
p:(0.541419,0.693684),h:1,n:99,cr:0.0537724;
p:(0.542857,0.603414),h:1,n:99,cr:0.0536355;
p:(0.544657,0.799323),h:1,n:99,cr:0.0551257;
p:(0.546009,0.762131),h:1,n:99,cr:0.0393023;
p:(0.56572,0.914545),h:1,n:99,cr:0.0646517;
