Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;41;12;3;5000;4296000
CP;42;12;5;9000;4296000
CP;43;12;4;7000;4296000
CP;44;12;5;8000;4296000
CP;45;12;5;9000;4296000
CP;46;12;7;12000;4296000
CP;47;12;3;6000;4296000
CP;48;12;5;8000;4296000
CP;49;12;3;6000;4296000
CP;50;12;6;9000;4296000
CP;51;12;6;10000;4296000
CP;52;12;4;6000;4296000
CP;53;12;5;8000;4296000
CP;54;12;5;7000;4296000
CP;55;12;5;9000;4296000
CP;56;12;4;11000;4296000
CP;57;12;3;5000;4296000
CP;58;12;4;6000;4296000
CP;59;12;7;10000;4296000
CP;60;12;4;7000;4296000
CP;61;12;7;10000;4296000
CP;62;12;4;6000;4296000
CP;63;12;3;5000;4296000
CP;64;12;5;8000;4296000
CP;65;12;6;9000;4296000
CP;66;12;4;7000;4296000
CP;67;12;6;10000;4296000
CP;68;12;6;10000;4296000
CP;69;12;4;6000;4296000
CP;70;12;8;13000;4296000
CP;71;12;5;7000;4296000
CP;72;12;5;8000;4296000
CP;73;12;5;8000;4296000
CP;74;12;3;5000;4296000
CP;75;12;6;11000;4296000
CP;76;12;5;29000;4296000
CP;77;12;5;9000;4296000
CP;78;12;3;5000;4296000
CP;79;12;7;12000;4296000
CP;80;12;3;5000;4296000
CP;81;12;8;11000;4296000
CP;82;12;5;7000;4296000
CP;83;12;6;9000;4296000
CP;84;12;7;12000;4296000
CP;85;12;7;12000;4296000
CP;86;12;6;10000;4296000
CP;87;12;3;5000;4296000
CP;88;12;7;11000;4296000
CP;89;12;4;7000;4296000
CP;90;12;7;11000;4296000
CP;91;12;6;10000;4296000
CP;92;12;6;11000;4296000
CP;93;12;5;8000;4296000
CP;94;12;3;5000;4296000
CP;95;12;5;9000;4296000
CP;96;12;6;9000;4296000
CP;97;12;5;8000;4296000
CP;98;12;5;9000;4296000
CP;99;12;7;11000;4296000
SS;0;12;4;13000;12914827000
SS;1;12;3;7000;12914827000
SS;2;12;3;10000;12914827000
SS;3;12;3;6000;12914827000
SS;4;12;4;7000;12914827000
SS;5;12;3;4000;12914827000
SS;6;12;2;3000;12914827000
SS;7;12;3;5000;12914827000
SS;8;12;3;6000;12914827000
SS;9;12;2;4000;12914827000
SS;10;12;3;4000;12914827000
SS;11;12;2;3000;12914827000
SS;12;12;4;8000;12914827000
SS;13;12;2;4000;12914827000
SS;14;12;3;6000;12914827000
SS;15;12;4;7000;12914827000
SS;16;12;2;3000;12914827000
SS;17;12;4;6000;12914827000
SS;18;12;2;3000;12914827000
SS;19;12;3;5000;12914827000
SS;20;12;4;6000;12914827000
SS;21;12;3;5000;12914827000
SS;22;12;4;6000;12914827000
SS;23;12;4;6000;12914827000
SS;24;12;2;3000;12914827000
SS;25;12;4;7000;12914827000
SS;26;12;3;6000;12914827000
SS;27;12;4;6000;12914827000
SS;28;12;4;9000;12914827000
SS;29;12;2;4000;12914827000
SS;30;12;4;7000;12914827000
SS;31;12;3;5000;12914827000
SS;32;12;4;6000;12914827000
SS;33;12;3;5000;12914827000
SS;34;12;2;4000;12914827000
SS;35;12;4;7000;12914827000
SS;36;12;3;6000;12914827000
SS;37;12;4;5000;12914827000
SS;38;12;4;7000;12914827000
SS;39;12;4;7000;12914827000
SS;40;12;4;6000;12914827000
SS;41;12;4;6000;12914827000
SS;42;12;5;9000;12914827000
SS;43;12;4;7000;12914827000
SS;44;12;4;7000;12914827000
SS;45;12;2;3000;12914827000
SS;46;12;5;15000;12914827000
SS;47;12;3;5000;12914827000
SS;48;12;3;5000;12914827000
SS;49;12;4;6000;12914827000
SS;50;12;5;8000;12914827000
SS;51;12;3;5000;12914827000
SS;52;12;4;6000;12914827000
SS;53;12;3;4000;12914827000
SS;54;12;3;5000;12914827000
SS;55;12;5;8000;12914827000
SS;56;12;4;7000;12914827000
SS;57;12;4;6000;12914827000
SS;58;12;3;5000;12914827000
SS;59;12;4;6000;12914827000
SS;60;12;4;6000;12914827000
SS;61;12;4;5000;12914827000
SS;62;12;3;6000;12914827000
SS;63;12;4;7000;12914827000
SS;64;12;4;6000;12914827000
SS;65;12;3;6000;12914827000
SS;66;12;2;3000;12914827000
SS;67;12;3;6000;12914827000
SS;68;12;4;7000;12914827000
SS;69;12;2;3000;12914827000
SS;70;12;3;4000;12914827000
SS;71;12;4;6000;12914827000
SS;72;12;2;3000;12914827000
SS;73;12;3;4000;12914827000
SS;74;12;3;5000;12914827000
SS;75;12;5;9000;12914827000
SS;76;12;3;5000;12914827000
SS;77;12;5;9000;12914827000
SS;78;12;4;7000;12914827000
SS;79;12;3;3000;12914827000
SS;80;12;2;6000;12914827000
SS;81;12;3;5000;12914827000
SS;82;12;4;7000;12914827000
SS;83;12;2;4000;12914827000
SS;84;12;4;6000;12914827000
SS;85;12;3;4000;12914827000
SS;86;12;5;7000;12914827000
SS;87;12;3;4000;12914827000
SS;88;12;3;4000;12914827000
SS;89;12;5;8000;12914827000
SS;90;12;4;6000;12914827000
SS;91;12;3;6000;12914827000
SS;92;12;3;5000;12914827000
SS;93;12;3;4000;12914827000
SS;94;12;3;5000;12914827000
SS;95;12;3;5000;12914827000
SS;96;12;3;5000;12914827000
SS;97;12;3;4000;12914827000
SS;98;12;3;5000;12914827000
SS;99;12;4;8000;12914827000
CP;0;13;5;9000;13083000
CP;1;13;10;42000;13083000
CP;2;13;9;38000;13083000
CP;3;13;10;23000;13083000
CP;4;13;7;9000;13083000
CP;5;13;5;29000;13083000
CP;6;13;4;5000;13083000
CP;7;13;1;0;13083000
CP;8;13;4;6000;13083000
CP;9;13;6;11000;13083000
CP;10;13;7;30000;13083000
CP;11;13;5;7000;13083000
CP;12;13;9;10000;13083000
CP;13;13;4;10000;13083000
