Method;Query;n;Disk Accesses;Query Time;Construction Time
CP;87;23;228;465000;27483163000
CP;88;23;224;465000;27483163000
CP;89;23;221;455000;27483163000
CP;90;23;222;459000;27483163000
CP;91;23;226;446000;27483163000
CP;92;23;214;449000;27483163000
CP;93;23;203;418000;27483163000
CP;94;23;134;274000;27483163000
CP;95;23;219;446000;27483163000
CP;96;23;215;446000;27483163000
CP;97;23;225;458000;27483163000
CP;98;23;217;455000;27483163000
CP;99;23;223;456000;27483163000
CP;0;24;403;1068000;60842844000
CP;1;24;407;822000;60842844000
CP;2;24;393;804000;60842844000
CP;3;24;393;804000;60842844000
CP;4;24;395;811000;60842844000
CP;5;24;402;803000;60842844000
CP;6;24;212;434000;60842844000
CP;7;24;284;563000;60842844000
CP;8;24;278;547000;60842844000
CP;9;24;362;724000;60842844000
CP;10;24;397;808000;60842844000
CP;11;24;407;840000;60842844000
CP;12;24;391;817000;60842844000
CP;13;24;370;763000;60842844000
CP;14;24;400;807000;60842844000
CP;15;24;402;809000;60842844000
CP;16;24;336;689000;60842844000
CP;17;24;393;783000;60842844000
CP;18;24;363;740000;60842844000
CP;19;24;404;800000;60842844000
CP;20;24;396;806000;60842844000
CP;21;24;400;799000;60842844000
CP;22;24;401;781000;60842844000
CP;23;24;400;823000;60842844000
CP;24;24;393;786000;60842844000
CP;25;24;403;815000;60842844000
CP;26;24;389;824000;60842844000
CP;27;24;396;802000;60842844000
CP;28;24;395;794000;60842844000
CP;29;24;397;788000;60842844000
CP;30;24;392;816000;60842844000
CP;31;24;393;790000;60842844000
CP;32;24;396;790000;60842844000
CP;33;24;400;782000;60842844000
CP;34;24;360;723000;60842844000
CP;35;24;399;802000;60842844000
CP;36;24;348;689000;60842844000
CP;37;24;406;786000;60842844000
CP;38;24;388;778000;60842844000
CP;39;24;395;774000;60842844000
CP;40;24;396;780000;60842844000
CP;41;24;396;800000;60842844000
CP;42;24;403;797000;60842844000
CP;43;24;399;790000;60842844000
CP;44;24;392;791000;60842844000
CP;45;24;394;766000;60842844000
CP;46;24;406;796000;60842844000
CP;47;24;397;790000;60842844000
CP;48;24;382;769000;60842844000
CP;49;24;392;786000;60842844000
CP;50;24;399;852000;60842844000
CP;51;24;392;783000;60842844000
CP;52;24;393;800000;60842844000
CP;53;24;404;790000;60842844000
CP;54;24;404;786000;60842844000
CP;55;24;403;805000;60842844000
CP;56;24;392;784000;60842844000
CP;57;24;407;786000;60842844000
CP;58;24;405;794000;60842844000
CP;59;24;400;788000;60842844000
CP;60;24;409;798000;60842844000
CP;61;24;391;777000;60842844000
CP;62;24;208;412000;60842844000
CP;63;24;396;798000;60842844000
CP;64;24;402;792000;60842844000
CP;65;24;406;796000;60842844000
CP;66;24;398;774000;60842844000
CP;67;24;402;778000;60842844000
CP;68;24;394;768000;60842844000
CP;69;24;394;769000;60842844000
CP;70;24;403;781000;60842844000
CP;71;24;398;776000;60842844000
CP;72;24;211;419000;60842844000
CP;73;24;383;747000;60842844000
CP;74;24;396;768000;60842844000
CP;75;24;408;776000;60842844000
CP;76;24;393;752000;60842844000
CP;77;24;403;771000;60842844000
CP;78;24;400;765000;60842844000
CP;79;24;392;773000;60842844000
CP;80;24;369;706000;60842844000
CP;81;24;404;759000;60842844000
CP;82;24;409;784000;60842844000
CP;83;24;397;763000;60842844000
CP;84;24;405;773000;60842844000
CP;85;24;406;779000;60842844000
CP;86;24;416;784000;60842844000
CP;87;24;392;759000;60842844000
CP;88;24;412;771000;60842844000
CP;89;24;400;770000;60842844000
CP;90;24;396;776000;60842844000
CP;91;24;387;768000;60842844000
CP;92;24;392;755000;60842844000
CP;93;24;373;737000;60842844000
CP;94;24;248;478000;60842844000
CP;95;24;404;767000;60842844000
CP;96;24;398;759000;60842844000
CP;97;24;393;770000;60842844000
CP;98;24;394;765000;60842844000
CP;99;24;403;756000;60842844000
CP;0;25;732;3473000;159328436000
CP;1;25;743;2517000;159328436000
CP;2;25;748;2775000;159328436000
CP;3;25;741;2669000;159328436000
CP;4;25;733;2932000;159328436000
CP;5;25;759;2069000;159328436000
CP;6;25;383;841000;159328436000
CP;7;25;528;1052000;159328436000
CP;8;25;524;1058000;159328436000
CP;9;25;734;1743000;159328436000
CP;10;25;725;1823000;159328436000
CP;11;25;739;1769000;159328436000
CP;12;25;732;1743000;159328436000
CP;13;25;695;1637000;159328436000
CP;14;25;748;1740000;159328436000
CP;15;25;742;1748000;159328436000
CP;16;25;632;1752000;159328436000
CP;17;25;733;1724000;159328436000
CP;18;25;689;1672000;159328436000
CP;19;25;741;1762000;159328436000
CP;20;25;728;1744000;159328436000
CP;21;25;753;2789000;159328436000
CP;22;25;743;1840000;159328436000
CP;23;25;734;1773000;159328436000
CP;24;25;730;1780000;159328436000
CP;25;25;767;1805000;159328436000
CP;26;25;727;1767000;159328436000
CP;27;25;732;2185000;159328436000
CP;28;25;748;1794000;159328436000
CP;29;25;752;1901000;159328436000
CP;30;25;736;1756000;159328436000
CP;31;25;748;1726000;159328436000
CP;32;25;716;1707000;159328436000
CP;33;25;732;1728000;159328436000
CP;34;25;684;1708000;159328436000
CP;35;25;746;2182000;159328436000
CP;36;25;661;2552000;159328436000
CP;37;25;743;2789000;159328436000
CP;38;25;743;2247000;159328436000
CP;39;25;655;1689000;159328436000
CP;40;25;756;1821000;159328436000
CP;41;25;735;1816000;159328436000
CP;42;25;732;1803000;159328436000
CP;43;25;726;2163000;159328436000
CP;44;25;740;1805000;159328436000
CP;45;25;740;1838000;159328436000
CP;46;25;760;1883000;159328436000
CP;47;25;752;1824000;159328436000
CP;48;25;728;1846000;159328436000
CP;49;25;753;1832000;159328436000
CP;50;25;735;1798000;159328436000
